isbn,title,authors,publisher,year
9781785940644,Doctor Who - the Blood Cell,James Goss,The Book People UK,2015
9780241372753,Extraordinary Life of Malala Yousafzai,Rita Petralucci,"Penguin Books, Limited",2019
9781848531055,The Life of Stephen Lawrence,Verna Allette Wilkins,Tamarind,2012
9781407109367,The Hunger Games - Catching Fire,Suzanne Collins,Scholastic,2012
9780241380079,Catching Teller Crow,"Ambelin Kwaymullina, Ezekiel Kwaymullina","Penguin Books, Limited",2019
9780744590074,Skeleton Key (Alex Rider),Anthony Horowitz,Walker Books Ltd,2002
9781407102436,Fever Crumb,Philip Reeve,Scholastic,2010
9780241354568,Funky Chickens,Benjamin Zephaniah,"Penguin Books, Limited",2018
9781529112207,"Dutiful Boy - A Memoir of Secrets, Lies and Family Love",Mohsin Zaidi,Penguin Random House,2021
9780141029948,Who Are We - And Should It Matter in the 21st Century?,Gary Younge,"Penguin Books, Limited",2011
9780552577564,Sun Is Also a Star,"Nicola Yoon, KARINE SUHARD - GUIE",Penguin Random House,2019
9780241511398,Senbazuru - Small Steps and Gentle Wisdoms to Heal the Soul,Michael James Wong,"Penguin Books, Limited",2021
9780007279043,The Boy in the Dress,David Walliams,Harper Collins,2010
9780440869276,Sapphire Battersea (Hetty Feather),Jacqueline Wilson,Corgi,2012
9780440869863,Diamond,Jacqueline Wilson,Corgi,2014
9780552570862,"Paws and whiskers - animal tales from Jacqueline Wilson, Michael Morpurgo, Enid Blyton and more!","Jacqueline Wilson, Nick Sharratt, Enid Blyton",Corgi,2015
9780241433935,Extraordinary Life of Serena Williams,Shelina Janmohamed,"Penguin Books, Limited",2020
9780440871248,Hetty Feather,"Jacqueline Wilson, Nick Sharratt",Penguin Random House,2015
9780701188696,Loop of Jade,Sarah Howe,Penguin Random House,2015
9780753556207,Introducing George the Poet - Search Party,George the Poet Limited Staff,Penguin Random House,2015
9781529118650,We Are All Birds of Uganda,Hafsa Zayyan,Penguin Random House,2021
9781529109436,Living While Black - A Guide to Overcoming Racial Trauma,Guilaine Kinouani,Ebury Publishing,2021
9781785152009,Rapthology,Jermaine Scott Sinclair,Penguin Random House,2019
9780857533197,Little Stars,Jacqueline Wilson,Random House Children's Publishers UK,2015
9780857531056,Emerald Star,Jacqueline Wilson,Doubleday UK,2012
9781510434882,­Accion Gramatica! Fourth Edition,"Phil Turk, Mike Zollo, Francisco Villatoro",Taylor & Francis Group,2018
9780297870913,I am Malala - The Story of the Girl Who Stood Up for Education and was Shot by the Taliban,"Malala Yousafzai, Christina Lamb, Malala Yousafzai, Malala Yousafazi, MALALA YOUSAFZAI",The Orion Publishing Group Ltd,2013
9780007494019,Grandpa’s Great Escape,David Walliams,HarperCollins Children's Books,2015
9780007371440,Gangsta Granny,David Walliams,imusti,2011
9780747242895,Winter moon,Dean Koontz,Headline Feature,1994
9780007796656,Forever Odd,Dean Koontz,Bantam Books,2006
9780755325276,Voice of the Night,Dean Koontz,Headline,1990
9780007796489,Odd Thomas,Dean Koontz,HarperCollins Publishers,2004
9780753410097,Adventure Stories (Red Hot Reads),Andrew Davidson,Kingfisher Books Ltd,2004
9781529118544,Taking Up Space - The Black Girl's Manifesto for Change,"Chelsea Kwakye, Ore Ogunbiyi",Penguin Random House,2020
9780141025018,Linton Kwesi Johnson - selected poems,Linton Kwesi Johnson,Penguin,2006
9780241514870,Nest of Vipers,Catherine Johnson,"Penguin Books, Limited",2021
9781785036378,Wartime Sweethearts,Lola Jaye,Penguin Random House,2019
9780091908935,Climbing the Mango Trees,Madhur Jaffrey,EBURY PRESS (RAND),2006
9780571258246,The Remains of the Day,Kazuo Ishiguro,"Faber & Faber, Limited",2005
9781784705039,"Brit(ish) - On Race, Identity and Belonging",Afua Hirsch,Penguin Random House,2018
9781844280933,Point Blanc,Anthony Horowitz,Walker Books,2012
9781406310498,Scorpia Rising,Anthony Horowitz,Candlewick Press,2011
9780141322032,Double Or Die,Charles Higson,Penguin Books Ltd,2007
9781784700089,Alan Turing: the Enigma - The Book That Inspired the Film 'The Imitation Game',Andrew Hodges,Penguin Random House,2014
9780744570519,Scorpia (Alex Rider 5),Anthony Horowitz,Walker Books Ltd,2005
9781848531208,Trouble,Bali Rai,Random House Children's Books,2013
9780099518471,Brave New World,Aldous Huxley,Vintage Classics,2007
9780141336138,The sacrifice,Charles Higson,Penguin Books,2013
9780141336107,Hunted,"Charles Higson, Matt Jones","Penguin Books, Limited",2014
9780141325064,Fear,Charles Higson,"Penguin Books, Limited",2012
9780141336152,The fallen,Charles Higson,Penguin,2014
9781406360196,Stormbreaker,Anthony Horowitz,"Walker Books, Limited",2015
9781844286218,The Power of Five 03. Nightrise,Anthony Horowitz,Walker Books Ltd.,2007
9781406321081,Necropolis,Anthony Horowitz,"Walker Books, Limited",2008
9780099477310,Catch-22,Joseph Heller,Vintage,1994
9780141318592,Silverfin (Young Bond),Charles Higson,Puffin Books,2005
9780857524423,Into the Water - A Novel,Paula Hawkins,Transworld Publishers Limited,2017
9780857522313,The girl on the train - you dont know her but she knows you,Paula Hawkins,Doubleday,2015
9780241523551,Wake - The Hidden History of Women-Led Slave Revolts,"Rebecca Hall, Hugo Martínez","Penguin Books, Limited",2021
9781529072150,Leadership - Lessons from My Life in Rugby,"Eddie Jones, Donald McRae",Pan Macmillan,2021
