isbn,title,authors,publisher,year
0141320788,Lionboy,Zizou Corder,"Penguin Books, Limited",2005
9780141302003,Heroes (Puffin Teenage Fiction),Robert Cormier,Puffin Books,1999
9781406307634,City Of Ashes 2,Cassandra Clare,Walker,2012
9780141985350,Of Women - In the Twenty-First Century,Shami Chakrabarti,"Penguin Books, Limited",2018
9781849411110,Over Sea under Stone,Susan Cooper,Penguin Random House,2010
9781849412704,Dark Is Rising - 'A Writer of Great Intergity and Skill',Susan Cooper,Penguin Random House,2010
9780753410165,Mystery Stories,"Helen Cresswell, Joan Aiken, Rodrigues Ottolengui, Emily Brontë, Eleanor Farjeon, Paul Ernst, Paul Jennings, Ann Pilling, Agatha Christie, Carl Gustav Jung, Ray Bradbury, Thomas Wright, Ambrose Bierce, Diana Wynne Jones, Adrian Reynolds",Kingfisher,1998
9781848531253,Bird,Crystal Chan,Childrens,2015
9781849412728,Grey King,Susan Cooper,Penguin Random House,2010
9781849412735,Silver On The Tree,Susan Cooper,Red Fox,2010
9781910655139,Maze Runner Prequel - The Kill Order,James Dashner,imusti,2015
9780140118476,"Ah, Sweet Mystery of Life - The Country Stories of Roald Dahl",Roald Dahl,Penguin Books,1990
9780141439600,A Tale of Two Cities,Charles Dickens,Penguin Books,2003
9781853260391,A Tale of Two Cities,Charles Dickens,Wordsworth Classics,1994
9780241989142,Burnt Sugar - Shortlisted for the Booker Prize 2020,Avni Doshi,Penguin,2021
9781784705404,Bethany Bettany,Fred D'aguiar,Penguin Random House,2016
9780141986289,Don't Touch My Hair,"Emma Dabiri, Esther Cruz","Penguin Books, Limited",2020
9780141442341,Three Musketeers,"Alexandre Dumas, Auguste Maquet","Penguin Books, Limited",2008
9780141348292,Moon and More,Sarah Dessen,"Penguin Books, Limited",2013
9780552554770,Queen of Sorcery,David Eddings,Penguin Random House,2006
9780436201356,"Paddy Clarke, ha-ha-ha",Roddy Doyle,Secker & Warburg,1993
